ATLH302	...אל הגעש היושב בהר אצידופילוס...	...God of the Volcano who resides in Mount Acidophilus...	
ATLH303	...קבל קורבן זה שאנו מקריבים לפניך...	...Accept this sacrifice we make unto you...	
ATLH304	...בדמות בשר עם כמות גדולה של סיבים תזונתיים ותאיות בריאות...	...in the form of flesh with high amounts of fiber and wholesome cellulose...	
ATLH305	...נטול שומנים וחומצות שומן רווי...	...free of all fat and trans-fatty acids...	
ATLH306	...שיתכן שיזין אותך ויעורר את רחמיך על כפרנו הצנוע...	...so that it might nourish you and bring your favor upon our humble village...	
ATLH307	...ולא יסעיר וגם לא יתסיס את מעיך הרגיזות...	...and not upset nor agitate your Ulcerative Caldera...	
ATLH308	בסדר בחורים... זרקו אותו פנימה!	Okay boys... toss 'im in!	
ATLH309	הייתם קהל נהדר! תודה לכם ולילה טוב!	You've been a wonderful audience! Thank you and good night!	
ATLH310	אוויל שכמוך! נתת גבינה לאל געשי רגיש ללקטוז!	You fool! You've given cheese to a lactose intolerant volcano god!	
ATLH311	אתה יודע מה זה אומר? הבאת את תחילתה של הדיזנטריה השמימית!	Do you know what that means? You've brought about the Coming of the Divine Dysentery!	
ATLH312	נוסו על נפשותיכם!	Run for your lives!	רוצו?
ATGT313	וואו! זה היה יותר מרהיב ממה שציפיתי!	Wow! That was more spectacular than I had hoped!	
ATLH314	היי!	Hey!	
ATLH315	עוף מכאן!	Get out of here!	לך?
ATLH316	אתה הורס את הטקס!	You'll spoil the ceremony!	תהרוס?
ATGT317	אתם מאכילים את הר הגעש בבובות עשויות מירקות?	You feed the volcano mannequins made from vegetables?	
ATLH318	כן בהחלט.	Yes we do.	
ATLH319	שרמן אינו צמחוני קפדני...	Sherman isn't a strict vegetarian...	
ATLH320	...אבל אוכל שומני יכול לגרום לו לבעיות עיכול קשות.	...but fatty foods can cause him severe indigestion.	
ATGT321	יום יפה להקרבה.	Nice day for a sacrifice.	
ATLH322	רק אחד ליום. שרמן רגיש לתזונת יתר.	Only one a day. Sherman is sensitive to over-feeding.	
ATNZ323	הקרבה	sacrifice	
ATNZ324	הר געש מסיבי רותח	massive seething caldera	
ATGT325	מבעבע.	Bubbly.	
ATGT326	אני אאבד יד בזה!	I'd lose my hand in that!	
ATGT327	הללו, הללו את אל הגעש!	Hail, hail the god of the volcano!	
ATGT328	זה לא יהיה קורבן הולם.	It wouldn't make a suitable sacrifice.	
ATNZ329	הר געש מסיבי רותח	massive seething caldera	
ATNZ330	ראש לימון	Lemonhead	
ATGT331	זה מנהיג הקניבלים.	It's the leader of the cannibals.	
ATGT332	אני לא רוצה לזרוק אותו להר הגעש.	I don't want to throw HIM into the volcano.	
